R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions,nameFull
760,786.0,107.0,0.28389988793425475,0.47030257751214044,0.0,0.0,0.0,0.0,0,Hunter Pence
674,696.0,13.0,0.26767478397486255,0.425962293794187,0.0,0.0,211.0,1145.0,0,Jhonny Peralta
770,750.0,161.0,0.27189682966147233,0.42557764642665236,0.0,1416.0,0.0,4.0,0,Brandon Phillips
804,387.0,459.0,0.3005602747153443,0.3721308512560998,0.0,0.0,0.0,0.0,0,Juan Pierre
559,590.0,12.0,0.2838123415046492,0.42371090448013526,1266.0,0.0,0.0,0.0,0,A. J. Pierzynski
734,496.0,62.0,0.30675873613726723,0.4176605984515589,0.0,849.0,321.0,94.0,0,Placido Polanco
652,771.0,14.0,0.2706101537028412,0.47321844434094085,1217.0,0.0,0.0,0.0,0,Jorge Posada
534,614.0,20.0,0.3076923076923077,0.46955650212979205,838.0,0.0,0.0,0.0,0,Buster Posey
617,571.0,40.0,0.29097605893186,0.42009412727644774,0.0,252.0,719.0,16.0,0,Martin Prado
1186,1230.0,75.0,0.33141461712890286,0.6244549101691959,0.0,1.0,96.0,1.0,1,Albert Pujols
684,874.0,13.0,0.28483982860640683,0.5047949398082024,0.0,0.0,1282.0,0.0,0,Aramis Ramirez
881,707.0,267.0,0.29609929078014185,0.4944838455476753,0.0,0.0,99.0,1075.0,1,Hanley Ramirez
954,1135.0,31.0,0.3183195314077964,0.6008887093516462,0.0,0.0,0.0,0.0,1,Manny Ramirez
514,467.0,34.0,0.24053137365743357,0.43357829282080274,0.0,0.0,0.0,0.0,0,Colby Rasmus
493,466.0,54.0,0.26457789382071367,0.4374818682912678,0.0,0.0,0.0,0.0,0,Josh Reddick
834,635.0,246.0,0.28764652840396754,0.3985572587917042,0.0,0.0,0.0,1432.0,1,Edgar Renteria
861,502.0,414.0,0.2919324577861163,0.4401500938086304,0.0,43.0,0.0,1216.0,1,Jose Reyes
673,714.0,60.0,0.23408444541675782,0.45176110260336905,0.0,6.0,773.0,0.0,0,Mark Reynolds
791,708.0,227.0,0.27823890292313247,0.442619992782389,0.0,0.0,0.0,0.0,0,Alex Rios
772,486.0,262.0,0.2830965616635783,0.421041795346922,0.0,1132.0,0.0,53.0,0,Brian Roberts
1117,1094.0,202.0,0.3063583815028902,0.5773121387283237,0.0,0.0,155.0,1252.0,1,Alex Rodriguez
715,704.0,65.0,0.303578859758635,0.48023304203079487,1220.0,0.0,0.0,0.0,1,Ivan Rodriguez
889,936.0,99.0,0.28557073954983925,0.5178858520900321,0.0,0.0,1352.0,0.0,0,Scott Rolen
988,657.0,340.0,0.2720423212568131,0.43571657582558515,0.0,1.0,0.0,1467.0,1,Jimmy Rollins
579,515.0,65.0,0.27603264902300273,0.44249319812020776,0.0,0.0,0.0,0.0,0,Aaron Rowand
386,394.0,24.0,0.26606875934230195,0.3919282511210762,1014.0,0.0,2.0,0.0,0,Carlos Ruiz
466,557.0,11.0,0.27922561429635145,0.4432861752295855,3.0,3.0,985.0,0.0,0,Pablo Sandoval
623,472.0,53.0,0.27596507352941174,0.3913143382352941,0.0,430.0,110.0,677.0,0,Marco Scutaro
630,481.0,137.0,0.26719917547023964,0.46405565575882507,0.0,0.0,0.0,0.0,0,Grady Sizemore
921,835.0,260.0,0.2776542998803214,0.5098307402974868,0.0,765.0,1.0,0.0,0,Alfonso Soriano
710,432.0,176.0,0.2830844753528329,0.3961955410104316,0.0,0.0,0.0,0.0,0,Denard Span
1047,558.0,383.0,0.3310222746717805,0.4298569110488273,0.0,0.0,0.0,0.0,1,Ichiro Suzuki
432,519.0,19.0,0.25554760200429494,0.3719875924600334,1152.0,0.0,0.0,0.0,0,Kurt Suzuki
780,770.0,13.0,0.25147347740667975,0.4532416502946955,0.0,0.0,0.0,0.0,0,Nick Swisher
938,1101.0,21.0,0.278954802259887,0.5270127118644068,0.0,0.0,15.0,0.0,0,Mark Teixeira
931,1023.0,64.0,0.28820960698689957,0.4790057104467585,0.0,0.0,0.0,1505.0,1,Miguel Tejada
902,906.0,15.0,0.28994350282485876,0.5789830508474576,0.0,0.0,425.0,0.0,0,Jim Thome
730,747.0,54.0,0.29308797127468583,0.5056104129263914,0.0,0.0,0.0,1175.0,1,Troy Tulowitzki
395,402.0,32.0,0.29401470073503677,0.4672733636681834,0.0,123.0,590.0,45.0,0,Justin Turner
759,706.0,26.0,0.24143727673881069,0.4471527631855432,0.0,1283.0,0.0,0.0,0,Dan Uggla
640,513.0,269.0,0.24358974358974358,0.40119363395225466,0.0,48.0,50.0,0.0,0,Melvin Upton
858,801.0,136.0,0.27012791572610984,0.4823175319789315,0.0,0.0,0.0,0.0,0,Justin Upton
546,599.0,39.0,0.2556805141152169,0.43148955703465686,0.0,202.0,154.0,912.0,0,Juan Uribe
839,787.0,127.0,0.28852596314907875,0.5010469011725294,0.0,1207.0,0.0,0.0,0,Chase Utley
536,611.0,25.0,0.26703545385969324,0.44707065627357306,1141.0,0.0,0.0,0.0,0,Jason Varitek
704,465.0,222.0,0.277337559429477,0.42970341860991623,0.0,0.0,0.0,0.0,0,Shane Victorino
622,383.0,196.0,0.2678494158372999,0.3396797922977066,0.0,1.0,0.0,1311.0,0,Omar Vizquel
852,813.0,71.0,0.3133038585209003,0.5403938906752411,0.0,0.0,0.0,0.0,0,Joey Votto
564,568.0,28.0,0.26852073843203067,0.4315511867657636,0.0,1040.0,35.0,0.0,0,Neil Walker
827,865.0,93.0,0.27396787009846263,0.47210226291242013,0.0,0.0,0.0,0.0,0,Vernon Wells
702,643.0,121.0,0.27673984119570294,0.4705744978981784,0.0,0.0,0.0,0.0,0,Jayson Werth
409,501.0,8.0,0.24979658258746948,0.40710604827773256,981.0,0.0,0.0,0.0,0,Matt Wieters
559,627.0,35.0,0.2525879917184265,0.4666149068322981,2.0,0.0,0.0,0.0,0,Josh Willingham
853,876.0,183.0,0.30123743232791955,0.5063805104408353,0.0,0.0,1364.0,2.0,0,David Wright
630,601.0,26.0,0.28274894810659185,0.4838709677419355,0.0,0.0,418.0,0.0,0,Kevin Youkilis
918,811.0,81.0,0.3002437043054427,0.4485783915515841,0.0,415.0,293.0,787.0,1,Michael Young
727,777.0,37.0,0.28168728452646524,0.473940377205435,0.0,0.0,1119.0,0.0,0,Ryan Zimmerman
727,634.0,109.0,0.26818469323213157,0.43727598566308246,0.0,735.0,8.0,200.0,0,Ben Zobrist
