G,W,SO,PCT,ERA,predictions
168,72,245,0.576,3.888,0
202,74,369,0.5285714285714286,3.489255225198705,0
175,65,790,0.5158730158730159,3.799818016378526,0
179,86,646,0.5972222222222222,3.0386536944517486,0
175,81,431,0.5869565217391305,3.2519809825673534,0
235,71,682,0.4965034965034965,2.845791087007781,0
171,77,400,0.6062992125984252,2.9682539682539684,0
195,82,724,0.5857142857142857,2.068519018073914,0
166,74,905,0.556390977443609,3.1136363636363638,0
184,95,554,0.59375,2.1575482406356414,0
170,75,876,0.5434782608695652,2.8405797101449277,0
207,81,782,0.5328947368421053,3.4692737430167595,0
179,61,606,0.4621212121212121,3.393939393939394,0
145,61,627,0.5980392156862745,3.0298013245033113,0
184,64,600,0.48120300751879697,3.1386224934612033,0
195,61,435,0.5126050420168067,3.8482349059716263,0
210,93,642,0.5705521472392638,3.566556375668109,0
179,61,780,0.5648148148148148,2.754350051177073,0
159,49,268,0.4188034188034188,4.054368932038835,0
209,65,455,0.5508474576271186,3.2798833819241984,0
148,71,425,0.6339285714285714,2.7288256227758008,0
166,70,1018,0.5303030303030303,4.0343907500741185,0
218,74,846,0.5362318840579711,2.7701778385772915,0
164,65,880,0.5416666666666666,3.2231404958677685,0
188,50,892,0.5154639175257731,3.9208972845336483,0
194,79,955,0.5766423357664233,3.201326259946949,0
184,50,314,0.5208333333333334,3.420345489443378,0
176,80,468,0.583941605839416,2.0982613277133826,0
162,66,400,0.5789473684210527,3.0112897707834416,0
152,47,510,0.5529411764705883,3.6080915406620355,0
179,77,534,0.5620437956204379,2.7330847096430477,0
112,29,338,0.5,2.5535714285714284,0
192,51,306,0.4766355140186916,3.6175854849965106,0
181,80,1094,0.5161290322580645,2.7357125031195406,1
171,60,377,0.46875,3.623771498771499,0
174,58,490,0.5225225225225225,3.2147346368715084,0
151,65,577,0.5241935483870968,3.409090909090909,0
162,65,486,0.52,2.581183611532625,0
199,75,501,0.5434782608695652,3.477966101694915,0
188,83,828,0.6287878787878788,2.7626502655856866,0
179,62,557,0.45588235294117646,3.08955223880597,0
151,74,1094,0.6491228070175439,3.020368574199806,0
229,86,316,0.5276073619631901,3.502007024586051,0
202,73,543,0.46794871794871795,3.5614842903575297,0
166,77,468,0.6209677419354839,3.497191011235955,0
169,75,637,0.6578947368421053,3.0844067796610166,0
182,66,514,0.5076923076923077,3.7158712541620424,0
160,58,594,0.5272727272727272,3.655268667131891,0
188,80,444,0.5633802816901409,2.75846751804553,0
166,68,589,0.544,2.7720223325062032,0
180,95,1155,0.6375838926174496,2.343002175489485,1
149,54,397,0.5294117647058824,2.595175273275537,0
161,68,539,0.5619834710743802,3.9283479349186488,0
181,83,883,0.6194029850746269,2.796376419686317,0
170,84,506,0.6666666666666666,2.210297946196124,0
168,63,396,0.5163934426229508,3.0874247703516,0
150,54,274,0.4864864864864865,3.711830799735625,0
168,69,677,0.5564516129032258,3.4931249999999996,0
171,70,583,0.56,3.2973760932944605,0
181,40,250,0.40404040404040403,4.619976124154397,0
150,67,613,0.5929203539823009,3.150442477876106,0
143,64,473,0.6095238095238096,3.8804116394606103,0
178,73,803,0.553030303030303,3.715007429420505,0
