playerID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,BB,SO,ERA,IBB
buddimi01,10000,5,4,87,2,0,0,2,393,137,68,52,76,23.05,11.0
budnimi01,3893,2,3,42,8,1,1,3,301,91,45,58,42,13.66,0.0
buehlwa01,4035,9,5,32,23,0,0,0,440,106,48,45,163,10.33,2.0
buehrma01,32120,214,160,518,493,33,10,0,9850,3472,1391,734,1870,61.44000000000001,49.0
buenofr01,8047,2,1,56,0,0,0,0,181,61,20,12,33,13.45,4.0
buentja01,6032,0,1,10,1,0,0,0,48,23,13,16,11,24.55,2.0
buffich01,20757,233,152,414,396,351,30,3,10212,3344,1120,856,1700,36.81,0.0
buhlbo01,29400,166,132,457,369,111,20,6,7761,2446,1019,1105,1268,99.74,52.0
buicede01,5964,9,11,96,0,0,0,20,517,145,81,72,157,15.09,7.0
bukercy01,1945,7,2,42,4,0,0,5,262,90,32,45,48,3.3,0.0
bukviry01,12029,3,0,97,0,0,0,1,263,89,60,71,62,42.43,4.0
bulgeja01,14056,7,2,125,0,0,0,1,399,112,64,75,138,41.150000000000006,3.0
bullibr01,10039,1,9,26,10,0,0,0,245,98,51,31,54,32.82,3.0
bulliji01,13965,34,41,186,89,6,4,11,1926,651,361,306,392,44.699999999999996,25.0
bulliki01,10004,2,0,49,0,0,0,1,153,63,37,13,22,31.81,2.0
bullore01,1936,0,2,12,2,0,0,0,50,19,26,37,7,14.04,0.0
bumgama01,20135,110,83,255,252,15,6,0,4915,1431,552,385,1591,29.379999999999995,31.0
bummeaa01,4035,1,4,67,0,0,0,0,161,53,26,25,52,8.76,1.0
bumpna01,6012,6,7,113,2,0,0,1,444,163,77,64,79,13.75,9.0
bunchme01,3994,1,3,18,6,0,0,0,150,62,38,21,23,17.33,1.0
bundydy01,8063,31,31,97,73,2,1,0,1358,450,233,148,440,13.71,5.0
bunkewa01,17703,60,52,206,152,34,5,5,3256,976,423,334,569,42.81999999999999,16.0
bunniji01,33371,224,184,591,519,151,40,16,11281,3433,1366,1000,2855,64.18,98.0
burawda01,4030,0,0,13,0,0,0,0,39,11,9,5,11,57.65,0.0
burbabi01,5910,6,11,37,28,2,1,0,482,141,80,116,95,24.71,3.0
burbada01,29955,115,87,511,234,6,1,3,5333,1777,886,762,1398,80.84,53.0
burchfr01,7627,13,15,49,28,12,0,0,857,268,93,92,124,11.459999999999999,0.0
burchla01,1969,0,2,29,0,0,0,0,127,42,20,24,26,4.25,2.0
